CustomerId,Zip,State,City,StateFIPS,CountyFIPS,CBSACode,CBSATitle,CreditLimit,CreditLimitLocked,JBTRating,SalesCurrentYr,SalesLastYr,PlainBandSalesLast12Mo,DesignBandSalesLast12Mo,DiamondBandSalesLast12Mo,AlternativeMetalSalesLast12Mo,TotalSalesLast12Mo,BuyingGroupMember,NumberOfStoreLocations,AvgDaysOfPayCategory,AvgDaysOfPay,MaxDaysPastDue,MaxAmtPastDue,AvgAmtPastDue,ReturnedPaymentCount,MaxReturnedPaymentAmt,RuralUrbanContinuumCode,UrbanInfluenceCode,MetroIndicator,TotalPopulation,MedianEarnings,MedianRetailTradeEarnings,TotalHouseholds,MedianIncomeHouseholds,NumberOfJewelryStores,NumberOfJewelryStoresState,JewelryStoreSalesState
1676,35055,AL,Cullman,1,1043,18980,"Cullman, AL",3000,0,FIN2,2001,3660,605,0,0,2522,3127,0,1,30 to 60,30,35,242,105,0,0,4,3,0,20520,28541,25224,7963,38586,3,296,291962
2590,35055,AL,Cullman,1,1043,18980,"Cullman, AL",3000,0,FIN2,753,3333,0,577,925,707,2209,0,1,30 to 60,41,73,1197,318,0,0,4,3,0,20520,28541,25224,7963,38586,3,296,291962
8765,35986,AL,Rainsville,1,1049,22840,"Fort Payne, AL",1000,0,RPT1,880,14332,2074,0,8146,174,10394,0,1,30 to 60,33.58,14,1672,705,0,0,6,6,0,7789,26772,19375,2873,41194,,296,291962
6979,35906,AL,Rainbow City,1,1055,23460,"Gadsden, AL",0,0,OOB0,850,2225,0,0,0,2184,2184,0,1,10 to 20,10.63,14,127,127,0,0,3,2,1,103363,27740,20375,39522,40478,4,296,291962
7339,35653,AL,Russellville,1,1059,,,0,0,RPT3,5137,0,289,0,2252,0,2540,0,1,10 to 20,12.14,6,1539,717,0,0,6,6,0,11908,25485,19352,3885,36261,,296,291962
8052,36303,AL,Dothan,1,1069,20020,"Dothan, AL",3000,0,FIN2,2372,16401,3944,1786,1569,133,7433,1,1,30 to 60,38.85,64,1575,539,0,0,3,2,1,147843,29017,20999,56851,40871,11,296,291962
6306,35243,AL,Birmingham,1,1073,13820,"Birmingham-Hoover, AL",1000,0,FIN3,0,621,-270,0,0,0,-270,0,2,20 to 30,25,20,310,310,0,0,1,1,1,1141309,34892,21759,439027,50529,76,296,291962
6662,35244,AL,Birmingham,1,1073,13820,"Birmingham-Hoover, AL",1000,1,RPT2,6753,5225,1094,3154,823,1172,6243,0,1,0 to 10,4.37,7,838,251,0,0,1,1,1,1141309,34892,21759,439027,50529,76,296,291962
910,35071,AL,Gardendale,1,1073,13820,"Birmingham-Hoover, AL",0,0,RPT3,0,110,0,0,0,86,86,0,1,0 to 10,5,5,97,97,0,0,1,1,1,1141309,34892,21759,439027,50529,76,296,291962
5709,35071,AL,Gardendale,1,1073,13820,"Birmingham-Hoover, AL",1000,0,FIN3,3362,6250,2140,2460,0,855,5454,1,1,30 to 60,37.56,50,800,256,0,0,1,1,1,1141309,34892,21759,439027,50529,76,296,291962
4328,35213,AL,Birmingham,1,1073,13820,"Birmingham-Hoover, AL",1000,0,FIN0,649,3241,1630,0,0,0,1630,0,2,20 to 30,19.75,17,626,452,0,0,1,1,1,1141309,34892,21759,439027,50529,76,296,291962
5114,35216,AL,Birmingham,1,1073,13820,"Birmingham-Hoover, AL",0,0,RPT2,814,3091,426,686,0,202,1314,0,1,30 to 60,34.8,72,455,165,0,0,1,1,1,1141309,34892,21759,439027,50529,76,296,291962
6873,35223,AL,Birmingham,1,1073,13820,"Birmingham-Hoover, AL",3000,1,RPT2,2127,7053,233,1966,2524,86,4809,0,1,10 to 20,9.63,45,1873,997,0,0,1,1,1,1141309,34892,21759,439027,50529,76,296,291962
4799,35020,AL,Bessemer,1,1073,13820,"Birmingham-Hoover, AL",1000,1,FIN0,0,2937,336,887,0,192,1416,0,1,0 to 10,2.14,6,737,501,0,0,1,1,1,1141309,34892,21759,439027,50529,76,296,291962
2779,35630,AL,Florence,1,1077,22520,"Florence-Muscle Shoals, AL",500,0,NEW0,10682,36440,5179,13040,3126,7899,29244,0,3,30 to 60,31.81,61,1568,271,0,0,3,2,1,147018,30182,20693,60466,43696,12,296,291962
2818,35630,AL,Florence,1,1077,22520,"Florence-Muscle Shoals, AL",1000,1,0,0,2609,114,0,2175,0,2289,0,1,0 to 10,4.43,5,862,433,0,0,3,2,1,147018,30182,20693,60466,43696,12,296,291962
1709,36830,AL,Auburn,1,1081,12220,"Auburn-Opelika, AL",1000,1,FIN1,3083,7711,1393,1808,0,2566,5767,1,1,0 to 10,6.24,23,1478,222,0,0,3,2,1,153947,30473,21897,57901,45056,11,296,291962
7963,35613,AL,Athens,1,1083,26620,"Huntsville, AL",0,0,FIN1,1794,2967,2008,255,0,697,2959,0,1,30 to 60,32.67,51,1404,277,0,0,2,2,1,440230,35935,20847,172022,58084,31,296,291962
3890,35957,AL,Boaz,1,1095,10700,"Albertville, AL",1000,0,FIN3,408,8235,758,0,0,2684,3442,0,1,30 to 60,29.1,20,1772,173,0,0,4,5,0,16553,26200,19761,5507,40086,3,296,291962
7612,35976,AL,Guntersville,1,1095,10700,"Albertville, AL",1000,1,FIN1,2541,5248,622,335,406,1365,2729,0,1,0 to 10,4.26,7,926,171,0,0,4,5,0,17138,30394,19430,6788,46491,3,296,291962
4320,36606,AL,Mobile,1,1097,33660,"Mobile, AL",1000,0,FIN3,0,245,0,0,0,0,0,0,1,0 to 10,6,6,245,245,0,0,2,2,1,414291,30784,20279,154261,44263,32,296,291962
690,36609,AL,Mobile,1,1097,33660,"Mobile, AL",1000,0,FIN0,623,66,615,0,0,0,615,0,1,10 to 20,9.33,0,0,0,0,0,2,2,1,414291,30784,20279,154261,44263,32,296,291962
3010,36609,AL,Mobile,1,1097,33660,"Mobile, AL",1000,0,RPT1,3360,10643,1769,1430,0,165,3364,0,1,30 to 60,35.8,14,2472,1017,0,0,2,2,1,414291,30784,20279,154261,44263,32,296,291962
6561,36695,AL,Mobile,1,1097,33660,"Mobile, AL",3000,0,FIN2,625,1068,0,768,0,732,1500,1,1,30 to 60,39.2,25,376,153,0,0,2,2,1,414291,30784,20279,154261,44263,32,296,291962
7902,36695,AL,Mobile,1,1097,33660,"Mobile, AL",3000,1,FIN1,259,3039,524,454,676,0,1655,0,1,30 to 60,37.42,182,1355,575,0,0,2,2,1,414291,30784,20279,154261,44263,32,296,291962
3240,36460,AL,Monroeville,1,1099,,,0,0,RPT2,942,4714,2537,0,811,570,3918,1,1,30 to 60,35.59,75,816,189,0,0,7,11,0,10903,27868,19848,3941,31095,,296,291962
4017,36106,AL,Montgomery,1,1101,33860,"Montgomery, AL",3000,0,FIN2,474,6512,2588,661,0,129,3378,0,1,30 to 60,43.4,45,1148,387,0,0,2,2,1,373963,31596,20326,144209,47614,22,296,291962
1313,36117,AL,Montgomery,1,1101,33860,"Montgomery, AL",2000,1,FIN2,2908,15982,3527,2096,0,667,6289,0,1,0 to 10,6.98,19,2491,408,0,0,2,2,1,373963,31596,20326,144209,47614,22,296,291962
7426,36117,AL,Montgomery,1,1101,33860,"Montgomery, AL",2000,1,TRK0,226,6286,2430,522,520,605,4078,0,1,30 to 60,47.48,81,1804,433,0,0,2,2,1,373963,31596,20326,144209,47614,22,296,291962
6113,35601,AL,Decatur,1,1103,19460,"Decatur, AL",3000,0,FIN2,3614,14872,7069,1703,0,2941,11713,1,1,20 to 30,27.24,44,1592,360,0,0,3,2,1,152988,30986,18998,59485,45804,8,296,291962
1603,35242,AL,Birmingham,1,1117,13820,"Birmingham-Hoover, AL",3000,0,FIN2,101,1201,786,0,0,325,1111,0,1,30 to 60,46.5,66,422,188,0,0,1,1,1,1141309,34892,21759,439027,50529,76,296,291962
6656,35242,AL,Birmingham,1,1117,13820,"Birmingham-Hoover, AL",1000,1,RPT1,0,218,0,0,0,0,0,0,1,10 to 20,12,12,218,218,0,0,1,1,1,1141309,34892,21759,439027,50529,76,296,291962
5251,35007,AL,Alabaster,1,1117,13820,"Birmingham-Hoover, AL",2000,1,FIN3,3332,15271,7715,2624,0,776,11114,0,1,0 to 10,3.42,12,796,203,0,0,1,1,1,1141309,34892,21759,439027,50529,76,296,291962
5331,35406,AL,Tuscaloosa,1,1125,46220,"Tuscaloosa, AL",1000,0,FIN3,16515,29682,4721,1123,9257,5202,20303,0,1,30 to 60,36.65,42,2262,346,0,0,3,2,1,237672,30014,18001,84006,45348,13,296,291962
7390,99501,AK,Anchorage,2,2020,11260,"Anchorage, AK",2000,1,RPT2,2208,12379,4129,5437,453,157,10175,0,1,0 to 10,3.63,6,1505,463,0,0,2,2,1,398000,42511,26420,135808,79225,33,91,107041
5935,85014,AZ,Phoenix,4,4013,38060,"Phoenix-Mesa-Scottsdale, AZ",0,0,RPT0,0,599,446,0,0,0,446,0,1,30 to 60,48,26,452,299,0,0,1,1,1,4486153,34489,24106,1596641,55227,256,417,493904
1178,85018,AZ,Phoenix,4,4013,38060,"Phoenix-Mesa-Scottsdale, AZ",1000,0,FIN0,0,314,0,0,0,0,0,0,1,30 to 60,58,28,314,314,0,0,1,1,1,4486153,34489,24106,1596641,55227,256,417,493904
4109,85224,AZ,Chandler,4,4013,38060,"Phoenix-Mesa-Scottsdale, AZ",1000,1,FIN0,458,6306,1989,0,2263,826,5078,0,1,0 to 10,4.35,7,1526,398,0,0,1,1,1,4486153,34489,24106,1596641,55227,256,417,493904
4382,85224,AZ,Chandler,4,4013,38060,"Phoenix-Mesa-Scottsdale, AZ",1000,1,FIN2,3834,3646,3078,2269,0,0,5347,0,1,0 to 10,3.18,6,606,356,0,0,1,1,1,4486153,34489,24106,1596641,55227,256,417,493904
4064,85226,AZ,Chandler,4,4013,38060,"Phoenix-Mesa-Scottsdale, AZ",1000,1,FIN0,209,1065,0,0,0,910,910,0,1,0 to 10,4.82,7,203,116,0,0,1,1,1,4486153,34489,24106,1596641,55227,256,417,493904
4564,85254,AZ,Scottsdale,4,4013,38060,"Phoenix-Mesa-Scottsdale, AZ",1000,1,RPT2,617,5926,0,1017,0,3409,4425,0,2,0 to 10,3.8,6,475,227,0,0,1,1,1,4486153,34489,24106,1596641,55227,256,417,493904
10007,85254,AZ,Scottsdale,4,4013,38060,"Phoenix-Mesa-Scottsdale, AZ",1000,0,FIN0,423,6447,141,1006,1111,1425,3683,0,1,30 to 60,34.3,12,697,247,0,0,1,1,1,4486153,34489,24106,1596641,55227,256,417,493904
5323,85260,AZ,Scottsdale,4,4013,38060,"Phoenix-Mesa-Scottsdale, AZ",1000,1,RPT0,841,2497,372,381,0,776,1529,0,1,0 to 10,4.83,19,414,196,0,0,1,1,1,4486153,34489,24106,1596641,55227,256,417,493904
7267,85262,AZ,Scottsdale,4,4013,38060,"Phoenix-Mesa-Scottsdale, AZ",2000,1,RSP0,512,3722,234,926,2039,0,3200,0,2,10 to 20,18.89,0,0,0,0,0,1,1,1,4486153,34489,24106,1596641,55227,256,417,493904
7208,85381,AZ,Peoria,4,4013,38060,"Phoenix-Mesa-Scottsdale, AZ",1000,0,FIN0,0,13,0,0,0,0,0,0,1,0 to 10,3.5,0,0,0,0,0,1,1,1,4486153,34489,24106,1596641,55227,256,417,493904
6624,86303,AZ,Prescott,4,4025,39140,"Prescott, AZ",1000,1,FIN1,0,1185,0,0,0,540,540,1,1,0 to 10,4.15,7,248,113,0,0,3,2,1,218586,26906,20087,93445,46638,17,417,493904
6567,85364,AZ,Yuma,4,4027,49740,"Yuma, AZ",3000,0,FIN2,0,183,0,0,0,0,0,1,1,0 to 10,2,2,183,183,0,0,3,2,1,203292,25975,18489,70924,41467,8,417,493904
3349,72601,AR,Harrison,5,5009,25460,"Harrison, AR",0,0,OOB0,0,30,0,0,0,0,0,0,1,30 to 60,44,26,69,50,1,69,7,8,0,30184,26777,18228,11914,39615,2,142,154325
452,71701,AR,Camden,5,5103,15780,"Camden, AR",2000,1,RPT1,242,2530,216,529,0,889,1634,1,1,20 to 30,23.85,7,331,164,0,0,7,8,0,19401,27397,17239,7916,30706,2,142,154325
5973,72801,AR,Russellville,5,5115,40780,"Russellville, AR",3000,0,FIN2,115,690,0,367,0,350,717,0,1,30 to 60,52.67,54,383,200,0,0,5,8,0,19859,19323,10347,6576,31301,5,142,154325
7690,72116,AR,North Little Rock,5,5119,30780,"Little Rock-North Little Rock-Conway, AR",1000,1,FIN0,612,3012,0,842,0,902,1743,0,1,0 to 10,3.8,6,513,249,0,0,2,2,1,727371,32447,22637,278116,50252,39,142,154325
1619,72903,AR,Fort Smith,5,5131,22900,"Fort Smith, AR-OK",3000,0,FIN2,8515,38473,4976,4649,4122,13471,27218,0,2,30 to 60,32.92,22,3197,277,0,0,2,2,1,280507,27465,19327,107765,39543,14,142,154325
5302,71730,AR,El Dorado,5,5139,20980,"El Dorado, AR",3000,0,FIN2,1051,4667,678,759,0,1943,3381,1,1,20 to 30,28.23,33,701,205,0,0,7,8,0,31663,30155,20328,12681,40423,3,142,154325
4581,94546,CA,Castro Valley,6,6001,41860,"San Francisco-Oakland-Hayward, CA",1000,1,RPT0,0,1409,70,0,699,129,897,0,1,10 to 20,14.44,60,713,177,0,0,1,1,1,4577530,48909,29286,1674040,85947,376,2939,4225206
901,94578,CA,San Leandro,6,6001,41860,"San Francisco-Oakland-Hayward, CA",0,0,RPT0,0,300,0,0,0,0,0,0,1,0 to 10,5,5,300,300,0,0,1,1,1,4577530,48909,29286,1674040,85947,376,2939,4225206
155,94707,CA,Berkeley,6,6001,41860,"San Francisco-Oakland-Hayward, CA",1000,0,FIN3,6716,4458,2387,2170,516,307,5380,0,1,30 to 60,53.85,54,1071,516,0,0,1,1,1,4577530,48909,29286,1674040,85947,376,2939,4225206
1095,94709,CA,Berkeley,6,6001,41860,"San Francisco-Oakland-Hayward, CA",3000,1,FIN2,728,9836,3291,0,0,0,3291,0,1,30 to 60,32.7,53,937,502,0,0,1,1,1,4577530,48909,29286,1674040,85947,376,2939,4225206
2556,95642,CA,Jackson,6,6005,,,3000,0,FIN2,159,4638,633,2673,0,378,3684,1,1,30 to 60,38.25,40,757,295,0,0,6,4,0,6912,31950,21693,3067,48879,,2939,4225206
3923,94513,CA,Brentwood,6,6013,41860,"San Francisco-Oakland-Hayward, CA",2000,1,FIN3,2272,6067,1429,1134,635,2342,5540,0,1,30 to 60,50.87,61,911,193,0,0,1,1,1,4577530,48909,29286,1674040,85947,376,2939,4225206
7891,95762,CA,El Dorado Hills,6,6017,40900,"Sacramento--Roseville--Arden-Arcade, CA",1000,1,TRK0,890,5103,728,941,0,521,2190,0,1,0 to 10,3.5,7,1529,347,0,0,1,1,1,2242542,37035,23149,804137,61686,122,2939,4225206
3762,93711,CA,Fresno,6,6019,23420,"Fresno, CA",3000,0,FIN2,1338,10825,377,2645,0,2233,5255,0,1,30 to 60,33.15,46,1561,369,0,0,2,2,1,963160,27205,20626,299456,45963,49,2939,4225206
2230,93720,CA,Fresno,6,6019,23420,"Fresno, CA",0,0,PBK2,621,1983,0,0,0,1717,1717,0,1,0 to 10,3.61,6,396,180,0,0,2,2,1,963160,27205,20626,299456,45963,49,2939,4225206
150,95501,CA,Eureka,6,6023,21700,"Eureka-Arcata-Fortuna, CA",1000,0,FIN0,0,4760,0,0,0,0,0,0,1,20 to 30,28.75,10,2781,1565,0,0,5,8,0,23284,24820,18618,9592,39796,13,2939,4225206
516,95540,CA,Fortuna,6,6023,21700,"Eureka-Arcata-Fortuna, CA",3000,0,FIN2,13,1575,605,927,0,0,1532,1,1,0 to 10,4.8,6,918,394,0,0,5,8,0,13418,26755,22847,5075,44943,13,2939,4225206
3409,93555,CA,Ridgecrest,6,6029,12540,"Bakersfield, CA",500,0,NEW0,0,299,0,0,0,180,180,1,1,30 to 60,31.75,12,100,99,0,0,2,2,1,871337,29655,21636,262337,49788,43,2939,4225206
1051,93230,CA,Hanford,6,6031,25260,"Hanford-Corcoran, CA",3000,0,FIN2,0,643,0,0,632,0,632,0,1,30 to 60,48,18,643,643,0,0,3,2,1,150261,29070,20630,41845,47241,11,2939,4225206
5471,91006,CA,Arcadia,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",2000,1,RPT0,0,1552,0,511,0,69,579,0,1,30 to 60,31.5,27,926,514,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
183,91024,CA,Sierra Madre,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",1000,0,FIN0,0,4366,1270,559,1384,0,3213,0,1,10 to 20,19,8,1425,1425,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
7715,91101,CA,Pasadena,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",3000,1,FIN0,3379,2816,818,1399,0,0,2217,0,1,20 to 30,24,18,2063,723,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
5758,91355,CA,Valencia,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",3000,0,FIN2,7622,15546,2799,8586,2631,1431,15447,0,1,0 to 10,3.79,0,0,0,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
1535,91367,CA,Woodland Hills,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",1000,1,FIN4,413,3834,1043,1215,0,0,2258,0,2,0 to 10,4.38,6,1516,606,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
3556,91367,CA,Woodland Hills,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",1000,1,LTD0,404,9166,133,801,316,86,1336,0,1,0 to 10,8.68,42,1337,649,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
5402,91423,CA,Sherman Oaks,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",2000,1,RPT0,2214,11793,3237,7348,745,0,11329,0,1,30 to 60,35.38,68,1109,399,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
6697,91607,CA,Valley Village,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",1000,1,FIN0,1359,8598,3420,0,0,450,3870,0,1,30 to 60,42.86,53,1047,544,1,1043,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
6946,90006,CA,Los Angeles,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",1000,1,OOB0,0,7117,2479,2682,0,0,5161,0,1,0 to 10,4.44,7,844,445,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
4487,90013,CA,Los Angeles,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",0,0,RPT0,0,1831,691,781,0,0,1472,0,1,20 to 30,26.14,33,340,327,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
8156,90013,CA,Los Angeles,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",1000,1,RPT0,3516,5206,849,0,4203,243,5295,0,1,0 to 10,4.28,6,3214,556,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
1476,90014,CA,Los Angeles,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",1000,1,FIN0,0,1365,0,0,0,0,0,0,1,0 to 10,5,5,1365,1365,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
2446,90014,CA,Los Angeles,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",1000,0,FIN0,6198,9104,4823,1179,2064,476,8542,0,1,20 to 30,23.72,21,743,330,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
2571,90014,CA,Los Angeles,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",1000,0,RPT1,387,2672,0,372,0,0,372,0,1,20 to 30,25.25,20,2375,1381,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
4093,90014,CA,Los Angeles,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",1000,0,LTD0,12397,83367,83089,0,0,0,83089,0,1,20 to 30,19.88,11,15398,9039,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
4247,90014,CA,Los Angeles,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",1000,0,FIN0,0,2860,2261,229,0,0,2491,0,1,10 to 20,9.14,0,0,0,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
5766,90014,CA,Los Angeles,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",1000,0,FIN0,1766,2786,2405,1286,0,0,3691,0,1,30 to 60,37.5,23,555,341,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
5831,90014,CA,Los Angeles,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",1000,0,FIN0,5861,6448,2614,2314,0,736,5664,0,1,20 to 30,27.05,28,1129,244,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
5875,90014,CA,Los Angeles,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",1000,0,FIN0,730,2957,215,2694,0,0,2910,0,1,30 to 60,36.33,13,860,615,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
5930,90014,CA,Los Angeles,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",1000,0,FIN0,942,845,0,0,0,0,0,0,1,10 to 20,14.25,6,348,348,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
7555,90014,CA,Los Angeles,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",1000,0,FIN0,303,0,298,0,0,0,298,0,1,N/A,,,0,0,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
7718,90036,CA,Los Angeles,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",2000,1,OOB0,0,17132,0,376,0,0,376,0,1,20 to 30,28.6,37,3341,2601,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
5609,90048,CA,Los Angeles,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",0,0,RPT0,3311,3596,2239,1663,1195,0,5097,0,1,20 to 30,22.47,12,547,393,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
868,90069,CA,West Hollywood,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",2000,1,FIN2,5549,11266,8475,920,0,546,9940,0,1,0 to 10,7.03,12,1853,569,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
7111,90069,CA,West Hollywood,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",2000,1,FIN1,3236,12056,4272,5495,0,0,9768,0,1,0 to 10,5.44,6,1982,602,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
1895,90210,CA,Beverly Hills,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",0,0,RPT0,0,803,0,774,0,0,774,0,1,10 to 20,14,0,0,0,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
488,90275,CA,Rancho Palos Verdes,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",1000,1,RPT1,1323,6312,0,1023,0,0,1023,0,1,20 to 30,27.75,26,5238,2104,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
7706,90505,CA,Torrance,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",3000,0,FIN2,510,3911,485,631,0,0,1117,0,1,30 to 60,58.5,85,3251,747,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
7684,90603,CA,Whittier,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",1000,1,RPT0,631,5148,174,1450,842,1837,4302,0,1,0 to 10,4.62,7,863,185,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
384,90706,CA,Bellflower,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",1000,0,FIN0,0,108,0,0,0,89,89,0,1,30 to 60,37,34,290,135,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
1427,90712,CA,Lakewood,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",1000,1,FIN0,673,2155,0,642,0,0,642,0,2,0 to 10,7.33,11,660,336,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
7683,90712,CA,Lakewood,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",1000,1,FIN2,1719,3819,0,474,0,0,474,0,1,0 to 10,7.56,6,1719,615,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
7975,90732,CA,San Pedro,6,6037,31080,"Los Angeles-Long Beach-Anaheim, CA",0,0,FIN0,1917,4954,0,334,860,0,1194,0,1,20 to 30,27.91,29,2448,728,0,0,1,1,1,13189366,32502,22440,4298857,62216,1263,2939,4225206
